Time_ps,Chan1
0.0,0
16.0,0
32.0,0
48.0,0
64.0,1
80.0,0
96.0,1
112.0,1
128.0,0
144.0,0
160.0,0
176.0,1
192.0,0
208.0,0
224.0,1
240.0,0
256.0,1
272.0,0
288.0,1
304.0,0
320.0,0
336.0,0
352.0,2
368.0,0
384.0,0
400.0,1
416.0,1
432.0,0
448.0,1
464.0,0
480.0,0
496.0,0
512.0,0
528.0,0
544.0,1
560.0,0
576.0,0
592.0,0
608.0,1
624.0,0
640.0,1
656.0,0
672.0,0
688.0,0
704.0,1
720.0,0
736.0,0
752.0,0
768.0,0
784.0,0
800.0,1
816.0,0
832.0,1
848.0,1
864.0,1
880.0,1
896.0,0
912.0,0
928.0,0
944.0,0
960.0,0
976.0,1
992.0,1
1008.0,1
1024.0,1
1040.0,0
1056.0,1
1072.0,0
1088.0,0
1104.0,0
1120.0,1
1136.0,0
1152.0,0
1168.0,0
1184.0,0
1200.0,0
1216.0,1
1232.0,0
1248.0,1
1264.0,0
1280.0,0
1296.0,1
1312.0,0
1328.0,1
1344.0,2
1360.0,0
1376.0,0
1392.0,0
1408.0,0
1424.0,0
1440.0,0
1456.0,0
1472.0,0
1488.0,0
1504.0,0
1520.0,0
1536.0,0
1552.0,0
1568.0,0
1584.0,1
1600.0,0
1616.0,0
1632.0,0
1648.0,1
1664.0,0
1680.0,0
1696.0,0
1712.0,0
1728.0,0
1744.0,0
1760.0,0
1776.0,0
1792.0,0
1808.0,0
1824.0,0
1840.0,0
1856.0,0
1872.0,0
1888.0,0
1904.0,2
1920.0,0
1936.0,1
1952.0,0
1968.0,0
1984.0,1
2000.0,0
2016.0,0
2032.0,0
2048.0,0
2064.0,0
2080.0,0
2096.0,0
2112.0,0
2128.0,1
2144.0,0
2160.0,1
2176.0,0
2192.0,0
2208.0,0
2224.0,0
2240.0,0
2256.0,0
2272.0,0
2288.0,0
2304.0,0
2320.0,1
2336.0,0
2352.0,0
2368.0,0
2384.0,1
2400.0,0
2416.0,0
2432.0,0
2448.0,0
2464.0,1
2480.0,0
2496.0,1
2512.0,0
2528.0,0
2544.0,0
2560.0,1
2576.0,0
2592.0,1
2608.0,0
2624.0,0
2640.0,0
2656.0,0
2672.0,2
2688.0,0
2704.0,1
2720.0,1
2736.0,0
2752.0,0
2768.0,1
2784.0,1
2800.0,1
2816.0,0
2832.0,1
2848.0,0
2864.0,0
2880.0,1
2896.0,1
2912.0,0
2928.0,0
2944.0,0
2960.0,0
2976.0,0
2992.0,0
3008.0,0
3024.0,0
3040.0,0
3056.0,0
3072.0,1
3088.0,1
3104.0,0
3120.0,1
3136.0,0
3152.0,0
3168.0,1
3184.0,0
3200.0,1
3216.0,0
3232.0,0
3248.0,0
3264.0,0
3280.0,3
3296.0,3
3312.0,0
3328.0,0
3344.0,0
3360.0,0
3376.0,0
3392.0,0
3408.0,0
3424.0,0
3440.0,1
3456.0,0
3472.0,0
3488.0,2
3504.0,0
3520.0,2
3536.0,0
3552.0,0
3568.0,1
3584.0,0
3600.0,1
3616.0,0
3632.0,1
3648.0,0
3664.0,1
3680.0,0
3696.0,1
3712.0,0
3728.0,0
3744.0,0
3760.0,0
3776.0,0
3792.0,0
3808.0,0
3824.0,0
3840.0,0
3856.0,0
3872.0,1
3888.0,0
3904.0,0
3920.0,0
3936.0,0
3952.0,1
3968.0,1
3984.0,0
4000.0,1
4016.0,1
4032.0,0
4048.0,0
4064.0,1
4080.0,0
4096.0,0
4112.0,0
4128.0,0
4144.0,0
4160.0,2
4176.0,2
4192.0,1
4208.0,2
4224.0,1
4240.0,0
4256.0,0
4272.0,0
4288.0,0
4304.0,1
4320.0,0
4336.0,0
4352.0,0
4368.0,0
4384.0,0
4400.0,1
4416.0,1
4432.0,0
4448.0,0
4464.0,0
4480.0,0
4496.0,3
4512.0,0
4528.0,0
4544.0,2
4560.0,0
4576.0,0
4592.0,0
4608.0,0
4624.0,0
4640.0,0
4656.0,0
4672.0,0
4688.0,1
4704.0,1
4720.0,0
4736.0,0
4752.0,0
4768.0,0
4784.0,0
4800.0,1
4816.0,1
4832.0,0
4848.0,0
4864.0,0
4880.0,0
4896.0,0
4912.0,0
4928.0,2
4944.0,0
4960.0,1
4976.0,0
4992.0,0
5008.0,0
5024.0,0
5040.0,0
5056.0,0
5072.0,0
5088.0,0
5104.0,0
5120.0,2
5136.0,0
5152.0,0
5168.0,0
5184.0,0
5200.0,0
5216.0,1
5232.0,0
5248.0,0
5264.0,0
5280.0,0
5296.0,0
5312.0,0
5328.0,2
5344.0,0
5360.0,0
5376.0,1
5392.0,0
5408.0,0
5424.0,0
5440.0,0
5456.0,2
5472.0,0
5488.0,0
5504.0,0
5520.0,0
5536.0,0
5552.0,0
5568.0,1
5584.0,0
5600.0,0
5616.0,0
5632.0,1
5648.0,0
5664.0,0
5680.0,0
5696.0,0
5712.0,2
5728.0,0
5744.0,1
5760.0,0
5776.0,0
5792.0,0
5808.0,0
5824.0,0
5840.0,0
5856.0,0
5872.0,0
5888.0,0
5904.0,0
5920.0,1
5936.0,3
5952.0,0
5968.0,0
5984.0,1
6000.0,1
6016.0,0
6032.0,0
6048.0,2
6064.0,0
6080.0,0
6096.0,1
6112.0,0
6128.0,0
6144.0,0
6160.0,1
6176.0,0
6192.0,1
6208.0,1
6224.0,0
6240.0,0
6256.0,0
6272.0,0
6288.0,0
6304.0,0
6320.0,0
6336.0,0
6352.0,0
6368.0,0
6384.0,1
6400.0,3
6416.0,0
6432.0,0
6448.0,0
6464.0,0
6480.0,0
6496.0,0
6512.0,0
6528.0,1
6544.0,0
6560.0,0
6576.0,0
6592.0,1
6608.0,0
6624.0,1
6640.0,0
6656.0,0
6672.0,0
6688.0,0
6704.0,0
6720.0,0
6736.0,0
6752.0,0
6768.0,1
6784.0,0
6800.0,0
6816.0,0
6832.0,0
6848.0,0
6864.0,0
6880.0,0
6896.0,1
6912.0,1
6928.0,1
6944.0,0
6960.0,0
6976.0,0
6992.0,0
7008.0,0
7024.0,0
7040.0,0
7056.0,0
7072.0,0
7088.0,1
7104.0,0
7120.0,1
7136.0,1
7152.0,0
7168.0,2
7184.0,0
7200.0,0
7216.0,0
7232.0,0
7248.0,1
7264.0,1
7280.0,0
7296.0,0
7312.0,0
7328.0,1
7344.0,0
7360.0,1
7376.0,1
7392.0,0
7408.0,0
7424.0,0
7440.0,1
7456.0,1
7472.0,0
7488.0,0
7504.0,1
7520.0,2
7536.0,1
7552.0,0
7568.0,0
7584.0,0
7600.0,0
7616.0,0
7632.0,0
7648.0,0
7664.0,0
7680.0,3
7696.0,0
7712.0,0
7728.0,0
7744.0,1
7760.0,1
7776.0,1
7792.0,0
7808.0,0
7824.0,0
7840.0,0
7856.0,0
7872.0,1
7888.0,1
7904.0,0
7920.0,1
7936.0,0
7952.0,2
7968.0,0
7984.0,0
8000.0,0
8016.0,0
8032.0,0
8048.0,0
8064.0,0
8080.0,1
8096.0,1
8112.0,1
8128.0,2
8144.0,0
8160.0,1
8176.0,0
8192.0,1
8208.0,0
8224.0,1
8240.0,0
8256.0,1
8272.0,2
8288.0,1
8304.0,0
8320.0,0
8336.0,0
8352.0,0
8368.0,0
8384.0,0
8400.0,0
8416.0,1
8432.0,0
8448.0,0
8464.0,0
8480.0,0
8496.0,0
8512.0,0
8528.0,0
8544.0,1
8560.0,1
8576.0,0
8592.0,0
8608.0,0
8624.0,0
8640.0,1
8656.0,0
8672.0,0
8688.0,0
8704.0,2
8720.0,0
8736.0,1
8752.0,0
8768.0,0
8784.0,0
8800.0,2
8816.0,1
8832.0,0
8848.0,0
8864.0,1
8880.0,1
8896.0,0
8912.0,1
8928.0,0
8944.0,0
8960.0,0
8976.0,0
8992.0,0
9008.0,0
9024.0,0
9040.0,0
9056.0,0
9072.0,0
9088.0,0
9104.0,1
9120.0,0
9136.0,1
9152.0,0
9168.0,0
9184.0,0
9200.0,0
9216.0,0
9232.0,0
9248.0,0
9264.0,1
9280.0,1
9296.0,1
9312.0,0
9328.0,0
9344.0,1
9360.0,2
9376.0,0
9392.0,0
9408.0,0
9424.0,1
9440.0,0
9456.0,0
9472.0,0
9488.0,0
9504.0,0
9520.0,0
9536.0,0
9552.0,0
9568.0,1
9584.0,0
9600.0,0
9616.0,0
9632.0,0
9648.0,0
9664.0,1
9680.0,0
9696.0,0
