Time_ps,Chan1
0,2
4,2
8,2
12,2
16,6
20,1
24,1
28,2
32,3
36,1
40,3
44,3
48,2
52,0
56,1
60,0
64,0
68,1
72,4
76,1
80,3
84,2
88,3
92,1
96,1
100,3
104,4
108,0
112,2
116,3
120,3
124,2
128,4
132,3
136,4
140,3
144,2
148,2
152,4
156,1
160,4
164,2
168,3
172,2
176,1
180,2
184,1
188,0
192,0
196,0
200,2
204,1
208,2
212,4
216,1
220,7
224,0
228,2
232,1
236,1
240,3
244,2
248,3
252,0
256,1
260,4
264,1
268,3
272,2
276,3
280,2
284,1
288,2
292,1
296,0
300,2
304,1
308,2
312,2
316,0
320,2
324,1
328,0
332,2
336,3
340,2
344,2
348,1
352,3
356,2
360,1
364,1
368,2
372,3
376,1
380,2
384,3
388,4
392,0
396,1
400,0
404,2
408,5
412,1
416,0
420,2
424,1
428,6
432,1
436,0
440,4
444,2
448,3
452,1
456,3
460,1
464,1
468,3
472,1
476,2
480,1
484,4
488,3
492,2
496,2
500,1
504,1
508,1
512,1
516,1
520,2
524,2
528,3
532,1
536,1
540,0
544,2
548,3
552,2
556,1
560,1
564,4
568,1
572,2
576,1
580,2
584,5
588,2
592,6
596,1
600,0
604,0
608,2
612,0
616,1
620,3
624,1
628,1
632,3
636,3
640,5
644,3
648,3
652,1
656,0
660,0
664,4
668,1
672,1
676,0
680,1
684,1
688,3
692,0
696,3
700,4
704,1
708,0
712,1
716,1
720,1
724,2
728,3
732,2
736,3
740,2
744,6
748,2
752,3
756,0
760,3
764,2
768,2
772,2
776,2
780,3
784,2
788,2
792,2
796,3
800,1
804,2
808,3
812,1
816,0
820,2
824,2
828,1
832,1
836,3
840,1
844,2
848,3
852,3
856,2
860,1
864,5
868,1
872,2
876,2
880,1
884,3
888,4
892,3
896,1
900,1
904,3
908,1
912,0
916,2
920,2
924,1
928,0
932,1
936,1
940,1
944,3
948,2
952,0
956,0
960,1
964,1
968,0
972,2
976,2
980,4
984,2
988,2
992,0
996,4
1000,1
1004,1
1008,3
1012,3
1016,1
1020,1
1024,1
1028,0
1032,3
1036,2
1040,4
1044,2
1048,2
1052,1
1056,3
1060,6
1064,0
1068,2
1072,1
1076,1
1080,2
1084,4
1088,2
1092,2
1096,1
1100,3
1104,0
1108,1
1112,0
1116,2
1120,1
1124,1
1128,4
1132,3
1136,2
1140,2
1144,2
1148,2
1152,0
1156,0
1160,4
1164,1
1168,2
1172,1
1176,1
1180,1
1184,0
1188,2
1192,2
1196,3
1200,2
1204,5
1208,2
1212,2
1216,2
1220,2
1224,3
1228,1
1232,3
1236,3
1240,2
1244,1
1248,3
1252,2
1256,3
1260,7
1264,4
1268,2
1272,4
1276,3
1280,5
1284,2
1288,9
1292,7
1296,6
1300,15
1304,5
1308,10
1312,11
1316,14
1320,14
1324,20
1328,22
1332,30
1336,25
1340,28
1344,31
1348,37
1352,41
1356,56
1360,51
1364,52
1368,65
1372,66
1376,88
1380,94
1384,80
1388,81
1392,83
1396,93
1400,106
1404,124
1408,113
1412,124
1416,134
1420,142
1424,118
1428,137
1432,130
1436,153
1440,153
1444,155
1448,164
1452,177
1456,182
1460,191
1464,160
1468,184
1472,188
1476,178
1480,223
1484,215
1488,195
1492,234
1496,226
1500,234
1504,211
1508,221
1512,212
1516,245
1520,243
1524,255
1528,264
1532,287
1536,258
1540,270
1544,267
1548,271
1552,300
1556,302
1560,285
1564,304
1568,320
1572,306
1576,303
1580,317
1584,341
1588,335
1592,349
1596,301
1600,322
1604,345
1608,350
1612,320
1616,359
1620,400
1624,320
1628,358
1632,340
1636,356
1640,338
1644,386
1648,374
1652,396
1656,409
1660,380
1664,390
1668,409
1672,376
1676,402
1680,407
1684,401
1688,420
1692,425
1696,416
1700,408
1704,414
1708,409
1712,415
1716,397
1720,419
1724,433
1728,435
1732,426
1736,457
1740,434
1744,454
1748,452
1752,438
1756,446
1760,409
1764,445
1768,483
1772,436
1776,457
1780,467
1784,431
1788,500
1792,457
1796,472
1800,500
1804,448
1808,483
1812,512
1816,462
1820,464
1824,457
1828,444
1832,477
1836,487
1840,504
1844,466
1848,468
1852,500
1856,466
1860,463
1864,466
1868,451
1872,490
1876,455
1880,502
1884,493
1888,499
1892,449
1896,489
1900,473
1904,484
1908,465
1912,473
1916,482
1920,436
1924,457
1928,459
1932,432
1936,484
1940,449
1944,458
1948,493
1952,460
1956,500
1960,462
1964,453
1968,445
1972,505
1976,423
1980,447
1984,495
1988,459
1992,476
1996,448
2000,501
2004,482
2008,459
2012,480
2016,448
2020,488
2024,411
2028,471
2032,423
2036,437
2040,462
2044,428
2048,405
2052,446
2056,425
2060,476
2064,454
2068,417
2072,417
2076,460
2080,422
2084,457
2088,460
2092,424
2096,469
2100,414
2104,428
2108,465
2112,432
2116,416
2120,427
2124,445
2128,450
2132,402
2136,427
2140,459
2144,427
2148,412
2152,420
2156,400
2160,370
2164,417
2168,451
2172,431
2176,417
2180,436
2184,365
2188,403
2192,448
2196,412
2200,387
2204,447
2208,431
2212,435
2216,413
2220,398
2224,403
2228,367
2232,396
2236,388
2240,374
