Time_ps,Chan1
0,0
1,0
2,0
3,0
4,1
5,0
6,0
7,1
8,1
9,0
10,0
11,1
12,1
13,0
14,2
15,1
16,1
17,0
18,2
19,0
20,0
21,3
22,1
23,1
24,0
25,0
26,1
27,0
28,0
29,0
30,1
31,1
32,0
33,0
34,2
35,0
36,1
37,2
38,0
39,2
40,1
41,1
42,1
43,0
44,1
45,0
46,2
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,2
55,2
56,2
57,1
58,1
59,1
60,0
61,0
62,0
63,1
64,0
65,0
66,0
67,0
68,0
69,1
70,0
71,1
72,0
73,0
74,1
75,0
76,0
77,1
78,1
79,0
80,0
81,1
82,0
83,0
84,0
85,0
86,0
87,2
88,0
89,0
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,2
98,0
99,0
100,0
101,1
102,0
103,0
104,1
105,2
106,0
107,0
108,1
109,0
110,1
111,0
112,0
113,0
114,1
115,1
116,0
117,2
118,0
119,0
120,0
121,1
122,0
123,1
124,1
125,0
126,1
127,0
128,0
129,0
130,1
131,0
132,1
133,0
134,0
135,2
136,0
137,1
138,2
139,0
140,1
141,0
142,0
143,0
144,0
145,1
146,0
147,1
148,0
149,0
150,0
151,1
152,2
153,1
154,1
155,0
156,1
157,0
158,0
159,1
160,0
161,0
162,0
163,1
164,0
165,1
166,1
167,1
168,2
169,2
170,3
171,0
172,1
173,0
174,0
175,0
176,1
177,1
178,2
179,1
180,0
181,1
182,1
183,1
184,1
185,1
186,0
187,1
188,0
189,0
190,1
191,1
192,0
193,1
194,1
195,0
196,1
197,1
198,1
199,1
200,1
201,0
202,0
203,1
204,0
205,1
206,0
207,0
208,2
209,0
210,0
211,1
212,0
213,0
214,1
215,0
216,0
217,0
218,0
219,0
220,3
221,0
222,1
223,0
224,2
225,2
226,1
227,1
228,2
229,0
230,0
231,1
232,0
233,1
234,2
235,0
236,1
237,0
238,1
239,0
240,1
241,1
242,0
243,0
244,0
245,0
246,0
247,0
248,1
249,0
250,0
251,1
252,0
253,0
254,0
255,0
256,1
257,0
258,0
259,0
260,2
261,1
262,2
263,1
264,0
265,0
266,1
267,1
268,0
269,0
270,0
271,1
272,0
273,1
274,0
275,0
276,3
277,1
278,0
279,1
280,1
281,0
282,1
283,0
284,0
285,0
286,1
287,1
288,1
289,0
290,1
291,0
292,1
293,1
294,0
295,0
296,1
297,1
298,0
299,0
300,0
301,2
302,0
303,1
304,0
305,0
306,1
307,0
308,0
309,0
310,0
311,1
312,1
313,0
314,0
315,1
316,3
317,0
318,2
319,0
320,1
321,0
322,0
323,1
324,1
325,1
326,1
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,1
335,0
336,2
337,0
338,1
339,0
340,1
341,2
342,0
343,1
344,1
345,0
346,1
347,0
348,2
349,2
350,0
351,0
352,0
353,0
354,1
355,0
356,1
357,1
358,0
359,0
360,0
361,2
362,0
363,1
364,0
365,0
366,0
367,1
368,0
369,0
370,1
371,1
372,0
373,1
374,1
375,0
376,1
377,1
378,0
379,1
380,0
381,2
382,1
383,0
384,0
385,0
386,1
387,0
388,0
389,2
390,0
391,0
392,0
393,0
394,3
395,0
396,1
397,0
398,2
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,1
407,1
408,1
409,2
410,0
411,0
412,0
413,1
414,1
415,1
416,0
417,0
418,0
419,0
420,1
421,1
422,0
423,1
424,0
425,0
426,1
427,1
428,0
429,1
430,1
431,0
432,0
433,0
434,0
435,1
436,2
437,0
438,1
439,0
440,2
441,1
442,1
443,1
444,2
445,1
446,0
447,2
448,0
449,0
450,2
451,1
452,1
453,1
454,0
455,0
456,0
457,1
458,0
459,0
460,1
461,2
462,0
463,0
464,1
465,1
466,0
467,0
468,1
469,1
470,0
471,0
472,0
473,0
474,2
475,0
476,1
477,0
478,0
479,2
480,4
481,1
482,1
483,0
484,1
485,1
486,0
487,1
488,0
489,0
490,1
491,1
492,1
493,0
494,0
495,0
496,0
497,0
498,1
499,0
500,2
501,0
502,0
503,2
504,0
505,1
506,0
507,0
508,0
509,1
510,3
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,2
522,0
523,2
524,0
525,0
526,1
527,1
528,0
529,0
530,1
