  record# Type Ch         TimeTag        TrueTime/ns    DTime

         2 CHN 0               5708             285401    982
         5 CHN 0              43320            2166008   1191
         7 CHN 0              47275            2363758   1019
         9 CHN 0              56708            2835410    700
        11 CHN 0              57966            2898310   1026
        13 CHN 0              72357            3617863   1008
        15 CHN 0              78126            3906314   1022
        17 CHN 0              81508            4075414   1037
        19 CHN 0             101487            5074368   1018
        21 CHN 0             105580            5279018   1064
        23 CHN 0             117142            5857120   1033
        25 CHN 0             133148            6657423    270
        26 CHN 0             133299            6664973    998
        28 CHN 0             137192            6859624   1084
        31 CHN 0             186157            9307883   1072
        33 CHN 0             195449            9772484    998
        35 CHN 0             208147           10407386   1021
        37 CHN 0             233040           11652041   1054
        39 CHN 0             234757           11737891   1159
        41 CHN 0             249839           12491994   1045
        43 CHN 0             261935           13096796   1066
        45 CHN 0             275347           13767398   1114
        47 CHN 0             277354           13867749    981
        49 CHN 0             282091           14104599    984
        51 CHN 0             288317           14415900   1083
        52 CHN 0             288525           14426300   1018
        54 CHN 0             292385           14619301   1098
        56 CHN 0             301909           15095503    717
        58 CHN 0             311667           15583405   1067
        60 CHN 0             312580           15629055   1051
        63 CHN 0             364642           18232164    993
        65 CHN 0             366767           18338414   1003
        67 CHN 0             367835           18391814   1022
        69 CHN 0             387241           19362118   1086
        71 CHN 0             401515           20075820   1016
        73 CHN 0             415598           20779973   1089
        75 CHN 0             419770           20988573   1076
        77 CHN 0             423181           21159124   1066
        80 CHN 0             464993           23249731   1040
        82 CHN 0             493977           24698936   1025
        83 CHN 0             494534           24726787   1032
        85 CHN 0             494920           24746087   1019
        87 CHN 0             507466           25373389    986
        89 CHN 0             522974           26148792   1033
        91 CHN 0             527844           26392292    999
        93 CHN 0             532747           26637443   1038
        95 CHN 0             561182           28059198   1985
        97 CHN 0             580133           29006752   1086
        99 CHN 0             593564           29678304   1001
       101 CHN 0             604218           30211006   1077
       103 CHN 0             622065           31103359   1082
       105 CHN 0             624128           31206509   1057
       107 CHN 0             626007           31300460   1402
       110 CHN 0             698446           34922422   1054
       112 CHN 0             709466           35473424   1065
       114 CHN 0             738166           36908429    714
       116 CHN 0             761244           38062333   1086
       118 CHN 0             771525           38576385    996
       119 CHN 0             771922           38596235    994
       121 CHN 0             781346           39067437   1195
       123 CHN 0             790067           39503488   1105
       125 CHN 0             792075           39603889   1101
       127 CHN 0             796582           39829239   1021
       129 CHN 0             797373           39868790   1196
       131 CHN 0             813501           40675192   1061
       132 CHN 0             813806           40690442   1487
       134 CHN 0             837783           41889297   1024
       136 CHN 0             840520           42026147    518
       138 CHN 0             845610           42280648    993
       140 CHN 0             847154           42357848   1014
       142 CHN 0             859763           42988300   1040
